1,absence,"[名]不在, 不参加"
2,absolute,"[形]絶対の、完全な"
3,academic,"[形]大学の, 人文学科の"
4,access,"[名]接近、立ち入り"
5,accompany,"[動]同行する"
6,according,"[形]～によれば"
7,achieve,"[動]達成する、成し遂げる"
8,addition,"[名]付加、足し算"
9,additional,"[形]追加の"
10,admit,"[動]認める"
11,adopt,"[動]採択する、身につける"
12,advance,"[名]進歩、進出"
13,advantage,"[名]利点、有利な条件"
14,adviser,"[名]相談相手"
15,affair,"[名]出来事，事件"
16,affect,"[動]影響する"
17,afford,"[動]余裕がある"
18,agreement,"[名]合意"
19,aid,"[動]援助する"
20,aircraft,"[名]航空機"
21,airmail,"[名]航空郵便"
22,alarm,"[名]注意、警報"
23,alcohol,"[名]アルコール"
24,alike,"[形]似ている、同様な"
25,aloud,"[副]大声で"
26,although,"[接]～だけれども"
27,altogether,"[副]一緒に、全体で"
28,ambulance,"[名]救急車"
29,analysis,"[名]分析"
30,angle,"[名]角度"
31,ankle,"[名]足首"
32,announcement,"[名]発表"
33,announcer,"[名]アナウンサー"
34,anyhow,"[副]とにかく"
35,anymore,"[副]もはや～ない"
36,appeal,"[動]懇願する、要請する "
37,application,"[名]応用"
38,appoint,"[動]任命する"
39,appointment,"[名]予約"
40,approve,"[動]認める"
41,arch,"[名]アーチ"
42,argue,"[動]言い争う、口論する"
43,argument,"[名]口論、論争"
44,arrest,"[動]逮捕する"
45,arrow,"[名]矢印、矢"
46,article,"[名]記事、条項"
47,ashamed,"[形]恥じている"
48,asparagus,"[名]アスパラガス"
49,assistance,"[名]手伝い、援助"
50,assistant,"[名]助手、アシスタント"
51,atlas,"[名]地図帳, 図解"
52,atom,"[名]原子"
53,atomic,"[形]原子の"
54,attach,"[動]取り付ける"
55,attempt,"[動]試みる"
56,attitude,"[名]姿勢、態度"
57,attract,"[動]魅惑する"
58,attractive,"[形]魅力的な"
59,audio,"[名]音声"
60,author,"[名]作者、作家"
61,authority,"[名]権限"
62,automatic,"[形]自動の"
63,available,"[形]使用できる"
64,avenue,"[名]大通り"
65,average,"[名]平均"
66,avoid,"[動]避ける"
67,babysitter,"[名]子守"
68,background,"[名]背景、経歴"
69,backyard,"[名]裏庭"
70,baggage,"[名]荷物"
71,bakery,"[名]パン屋"
72,baking,"[形]パン焼き用の"
73,balcony,"[名]バルコニー"
74,banker,"[名]銀行家"
75,barber,"[名]理髪師"
76,bare,"[形]裸の"
77,bargain,"[名]契約、取引"
78,bark,"[動]ほえる"
79,basement,"[名]地下室"
80,basis,"[名]根拠、理由"
81,bathe,"[動]入浴させる"
82,bathtub,"[名]浴槽"
83,battery,"[名]電池"
84,beast,"[名]獣"
85,bedtime,"[名]寝る時間"
86,beefsteak,"[名]牛肉の切り身, ビフテキ"
87,beg,"[動]請い求める"
88,beginner,"[名]初心者"
89,being,"[名]生き物"
90,belief,"[名]信じること、信心"
91,believer,"[名]信じる人"
92,beneath,"[前]下に, 地下に"
93,benefit,"[名]利点、手当て"
94,besides,"[副]その上、加えて"
95,bet,"[動]賭ける"
96,Bible,"[名]聖書"
97,bind,"[動]縛る"
98,biscuit,"[名]ビスケット"
99,bitter,"[形]苦い、きびしい"
100,blank,"[形]白紙の、空白の"
101,bless,"[動]祝福する"
102,blouse,"[名]ブラウス"
103,boast,"[動]自慢する"
104,bold,"[形]勇敢な、大胆な"
105,bomb,"[名]爆弾"
106,bookcase,"[名]本箱"
107,bookseller,"[名]本屋"
108,bookshelf,"[名]書棚, 蔵書"
109,border,"[名]境界、国境"
110,bore,"[動]退屈させる"
111,bored,"[形]退屈した"
112,bound,"[形]～行きの"
113,bowling,"[名]ボウリング"
114,boxer,"[名]ボクサー"
115,boxing,"[名]ボクシング"
116,brand,"[名]ブランド、商標"
117,breast,"[名]胸、胸部"
118,breed,"[名]品種, 種類"
119,brightly,"[副]明るく"
120,broccoli,"[名]ブロッコリー"
121,brow,"[名]眉"
122,bubble,"[名]泡"
123,bucket,"[名]バケツ, 手桶"
124,bull,"[名]雄牛"
125,bullet,"[名]銃弾、弾丸"
126,bunch,"[名]房, 束"
127,burger,"[名]ハンバーガー"
128,bury,"[動]埋める"
129,busily,"[副]忙しそうに"
130,businesswoman,"[名]実業家"
131,cabbage,"[名]キャベツ"
132,cafeteria,"[名]食堂"
133,calm,"[形]静かな、冷静な"
134,calmly,"[副]静かに"
135,cancel,"[動]取り消す"
136,canoe,"[名]カヌー"
137,carbon,"[名]炭素"
138,career,"[名]職業、キャリア"
139,careless,"[形]不注意な、軽率な"
140,carpet,"[名]じゅうたん、一面の広がり"
141,carriage,"[名]車両、輸送"
142,carrot,"[名]人参"
143,cart,"[名]荷馬車、カート"
144,cassette,"[名]カセット"
145,casual,"[形]形式ばらない"
146,celebrate,"[動]祝う"
147,celebration,"[名]祝賀"
148,cell,"[名]細胞"
149,ceremony,"[名]式典"
150,chairman,"[名]会長、議長"
151,challenge,"[名]難問、挑戦"
152,channel,"[名]経路、ルート"
153,chapel,"[名]礼拝堂, 教会堂"
154,chart,"[名]表、グラフ"
155,chase,"[動]追跡する"
156,cheerful,"[形]陽気な、快活な"
157,chemical,"[形]化学の"
158,childhood,"[名]子供時代"
159,chimney,"[名]煙突"
160,chimpanzee,"[名]チンパンジー"
161,chin,"[名]あご"
162,Christ,"[名]キリスト, 救世主"
163,circus,"[名]サーカス"
164,classic,"[名]古典, 古典的作家"
165,cleaner,"[名]清掃員"
166,cleanly,"[形]清潔に，きれいに"
167,client,"[名]顧客、クライアント"
168,cliff,"[名]崖"
169,climate,"[名]気候"
170,climbing,"[名]登ること, 登山"
171,closed,"[形]閉鎖的な、非公開の"
172,closely,"[副]接近して，ぴったりと"
173,clothe,"[動]衣服を着せる"
174,clothing,"[名]衣類"
175,cocktail,"[名]カクテル"
