1,ability,[名]能力、才能 
2,abroad,[副]海外へ、海外で 
3,absent,[形]欠席の 
4,accent,[名]アクセント、訛り 
5,accept,[動]受け入れる 
6,accident,[名]事故、偶然 
7,account,[名]口座、勘定 
8,action,[名]行為、行動 
9,active,[形]活発な 
10,activity,[名]活動 
11,actor,[名]俳優 
12,actress,[名]女優 
13,actual,[形]実際上の，事実上の 
14,actually,[副]実際は、現に 
15,add,[動]加える、足す 
16,address,[名]住所、演説 
17,admire,[動]賞賛する、敬服する 
18,adult,[名]大人、成人 
19,adventure,[名]冒険 
20,advice,[名]助言、忠告 
21,advise,[動]助言する、忠告する 
22,afterward,[副]その後 
23,agency,[名]代理店、特約店 
24,agent,[名]代理人、代理業者 
25,agree,[動]同意する、賛成する 
26,ah,[名]ああという発声 
27,ahead,[副]前方へ、先に立って 
28,aim,[名]目的 
29,airline,[名]航空会社 
30,alive,[形]生きている 
31,allow,[動]認める、許可する 
32,almond,[名]アーモンド 
33,alphabet,[名]アルファベット 
34,amount,[名]量、金額 
35,angel,[名]天使 
36,anger,[名]怒り 
37,announce,[動]発表する 
38,ant,[名]アリ 
39,anxious,[形]心配な、不安な 
40,anyway,[副]とにかく 
41,anywhere,[副]どこでも 
42,apart,[副]別々に 
43,appear,[動]現れる 
44,appearance,[名]外見、出現 
45,apply,[動]適用する、申し込む 
46,approach,[動]近づく 
47,apron,[名]エプロン 
48,area,[名]面積、地域 
49,army,[名]軍隊、陸軍 
50,arrange,[動]きちんと並べる 
51,arrangement,[名]手配、準備 
52,arrival,[名]到着 
53,aside,[副]わきへ、かたわらに 
54,asleep,[形]眠って 
55,assist,[動]援助する 
56,attend,[動]出席する 
57,attention,[名]注意 
58,audience,[名]観客、聴衆 
59,automobile,[名]自動車 
60,awake,[形]目が覚めて 
61,aware,[形]気が付いている 
62,awful,[形]ひどい、恐ろしい 
63,backward,[副]後方へ 
64,bacon,[名]ベーコン 
65,badly,[副]下手に、悪く 
66,balance,[名]バランス 
67,balloon,[名]風船 
68,band,[名]楽団、バンド 
69,bar,[名]棒 
70,base,[名]基盤、基礎 
71,basic,[形]基礎の、根本的な 
72,battle,[名]戦い、闘争 
73,bay,[名]湾、入り江 
74,beach,[名]浜 
75,bean,"[名]豆, 実 "
76,bear,[名]クマ 
77,beard,[名]あごひげ 
78,beat,[動]たたく 
79,beautifully,[副]美しく 
80,beauty,[名]美、美しさ 
81,bee,[名]ミツバチ 
82,beer,[名]ビール 
83,behave,[動]振舞う、行儀よくする 
84,belong,[動]属する 
85,belt,[名]ベルト 
86,bend,[動]曲げる 
87,beyond,[形]向こうへ 
88,bill,[名]請求書、勘定 
89,birth,"[名]誕生, 出産 "
90,bit,[名]少し 
91,blame,[動]非難する 
92,blanket,[名]毛布 
93,blind,[形]目が見えない 
94,block,[動]閉鎖する 
95,blood,[名]血 
96,board,[名]取締役会 
97,boil,[動]沸騰させる 
98,bone,[名]骨 
99,bookshop,[名]本屋 
100,bookstore,[名]本屋 
101,boring,[形]退屈な 
102,borrow,[動]借りる 
103,boss,[名]上司 
104,bottom,[名]底、下部 
105,bow,[動]お辞儀をする 
106,bowl,[名]椀、どんぶり 
107,boyfriend,[名]男友達 
108,brain,[名]脳 
109,brake,[名]ブレーキ 
110,branch,[名]支店、小枝 
111,brave,[形]勇敢な 
112,breath,[名]呼吸 
113,breathe,[動]呼吸する 
114,brick,[名]煉瓦 
115,bright,[形]明るい、うららかな 
116,brilliant,[形]あざやかな 
117,broad,[形]広い 
118,broadcast,[動]放送する 
119,broken,[形]折れた、壊れた 
120,brush,"[名]ブラシ, 毛筆 "
121,burn,[動]燃やす、焼ける 
122,burst,[動]破裂する 
123,bush,[名]茂み 
124,businessman,[名]実業家 
125,butterfly,[名]蝶 
126,button,[名]ボタン 
127,cab,[名]タクシー 
128,cable,[名]電線、ケーブル 
129,cage,"[名]鳥かご, おり "
130,campus,[名]大学の構内 
131,candle,[名]ろうそく 
132,capital,[名]首都、資本金、資金 
133,care,[名]心配、注意 
134,carefully,[副]注意深く、慎重に 
135,carpenter,[名]大工 
136,cash,[名]現金 
137,cast,[動]投げる、投げ込む 
138,castle,[名]城 
139,cause,[名]原因、理由 
140,ceiling,[名]天井 
141,cent,[名]1セント銅貨 
142,centimeter,[名]センチメートル 
143,central,[形]中心の 
144,century,[名]世紀 
145,certainly,[副]確かに、必ず 
146,chain,[名]鎖、連鎖 
147,champion,[名]チャンピオン 
148,chapter,[名]章 
149,character,[名]性格、人柄 
150,charge,[動]請求する 
151,check,[名]小切手 
152,cheek,[名]ほお 
153,cheer,[動]励ます、元気付ける 
154,cherry,[名]サクランボ 
155,chest,[名]胸、胸部 
156,choice,[名]選択 
157,cigar,[名]葉巻き 
158,cigarette,[名]タバコ 
159,cinema,[名]映画館 
160,citizen,[名]市民、国民 
161,claim,[動]要求する 
162,cleaning,[名]掃除する 
163,clearly,[副]はっきりと、明瞭に 
164,clerk,"[名]事務員, フロント係 "
165,clinic,[名]診療所 
166,cloth,[名]布、布切れ 
167,coal,[名]石炭 
168,coast,[名]海岸、沿岸 
169,cocoa,[名]ココア 
170,coin,[名]硬貨 
171,collect,[動]集める 
172,collection,[名]収集 
173,colorful,[形]色彩に富んだ 
174,comfort,[名]快適さ 
175,comfortable,[形]気楽な、快適な 
176,comic,[形]喜劇の、漫画の 
177,common,[形]共通の 
178,companion,[名]仲間、話し相手 
179,compare,[動]比較する 
180,complain,[動]不平を言う 
181,complete,[動]終える、仕上げる 
182,completely,[副]完全に、すっかり 
183,computer,[名]コンピュータ 
184,concert,[名]コンサート 
185,condition,[名]状態、体調 
186,contain,[動]含む、入っている 
187,content,[名]内容、中身 
188,continue,[動]続ける、持続する 
189,control,[名]管理、支配 
190,conversation,[名]会話 
191,cooking,[名]料理 
192,copy,[名]複写、コピー 
193,corn,[名]トウモロコシ 
194,correct,[形]正しい 
195,cost,[名]経費、費用 
196,cotton,[名]綿 
197,couple,[名]夫婦、カップル 
198,courage,[名]勇気 
199,course,[名]講座、教科 
200,court,[名]法廷、裁判所 
201,cousin,[名]いとこ 
202,cowboy,[名]カウボーイ 
203,crash,"[名]衝突, 墜落 "
204,crazy,[形]気が狂った 
205,cream,[名]クリーム 
206,create,[動]創造する 
207,creation,"[名]創造, 作品 "
208,crew,[名]乗組員、チーム 
209,cross,[名]十字架、十字形 
210,crowd,"[名]群衆, 人込み "
211,crowded,[形]混雑した 
212,crown,[名]冠、王冠 
213,culture,[名]文化 
214,curtain,[名]カーテン 
215,curve,[名]曲線、屈曲 
216,custom,[名]慣習、伝統 
217,customer,[名]顧客 
218,cycle,[名]周期、循環 
219,daily,[形]毎日の、日課の 
220,damage,[名]損害、被害 
221,dancer,[名]踊る人 
222,dancing,[名]踊り 
223,danger,[名]危険 
224,dare,[名]挑戦 
225,deaf,[形]耳が不自由な 
226,deal,[動]処理する、扱う 
227,decision,[名]決断 
228,deeply,[副]深く、非常に 
229,defend,[動]守る 
230,defense,[名]防衛、防御 
231,degree,[名]程度 
232,deliver,[動]配達する 
233,demand,[動]要求する 
234,dentist,[名]歯医者 
235,deny,[動]拒否する 
236,depend,"[動]あてにする, 頼る "
237,depth,[名]深さ 
238,describe,[動]描写する 
239,desert,[名]砂漠 
240,design,[名]デザイン、設計 
241,designer,[名]デザイナー 
242,destroy,[動]破壊する 
243,detail,[名]詳細 
244,develop,[動]発展させる 
245,dial,[名]文字盤 
246,diamond,[名]ダイヤモンド 
247,difference,[名]違い 
248,difficulty,[名]難しさ、困難 
249,dig,[動]掘る 
250,direct,[動]指揮する 
251,direction,[名]方向、方角 
252,directly,[副]直接に、まっすぐに 
253,disappear,[動]見えなくなる、姿を消す 
254,discount,[動]割引する 
255,discuss,[動]話し合う、議論する 
256,discussion,[名]議論、話し合い 
257,disease,[名]病気 
258,disk,[名]ディスク 
259,dislike,[動]嫌う 
260,distance,[名]距離、遠い地点 
261,distant,[形]遠い 
262,district,[名]地区、地域 
263,divide,[動]分ける、分割する 
264,double,[形]2倍の 
265,doubt,[動]疑う 
266,downstairs,[名]階下へ 
267,downtown,[名]繁華街 
268,dozen,[名]ダース、12個 
269,drama,[名]演劇、ドラマ 
270,drill,[動]ドリルで穴を開ける 
271,drinking,[名]飲酒 
272,drown,[動]溺れる、溺れ死ぬ 
273,drug,[名]薬物、薬 
274,drunk,[形]酔って 
275,dust,[名]ほこり、ちり 
276,duty,[名]義務、任務 
277,earn,[動]稼ぐ 
278,earring,[名]イヤリング 
279,easily,[副]容易に、楽に 
280,edge,[名]端、へり 
281,educate,[動]教育する、指導する 
282,education,[名]教育 
283,effect,[名]影響、結果 
284,effort,[名]努力、骨折り 
285,eighteenth,[名]18番目 
286,eighth,[名]8番目 
287,eightieth,[名]80番目 
288,elbow,[名]肘（ひじ） 
289,elder,[形]年長者の 
290,electric,[形]電気の 
291,electricity,[名]電気、電力 
292,elevator,[名]エレベーター 
293,eleventh,"[名]11番目, 11日 "
294,empty,[形]空の 
295,ending,[名]端、終わり 
296,enemy,[名]敵 
297,energy,[名]活力、エネルギー 
298,engine,[名]エンジン 
299,engineer,[名]技師、工学者 
300,entrance,[名]入り口 
301,envelope,"[名]封筒, 包み "
302,equal,[形]等しい 
303,eraser,[名]消しゴム 
304,error,[名]間違い 
305,escape,[動]脱出する 
306,especially,[副]特に 
307,event,[名]出来事 
308,everyday,[形]毎日の 
309,exact,[形]正確な、ちょうどの 
310,exactly,[副]正確に 
311,examination,[名]試験 
312,examine,[動]検査する、調査する 
313,example,[名]例、実例 
314,excellent,[形]優秀な、すばらしい 
315,except,[前]～以外は 
316,exciting,[形]興奮させる 
317,exercise,[名]運動、練習 
318,exist,[動]存在する、生存する 
319,exit,[名]出口 
320,expect,[動]予期する、期待する 
321,expensive,[形]高価な、ぜいたくな 
322,experience,[名]経験 
323,explain,[動]説明する 
324,express,[動]表現する 
325,fail,[動]失敗する 
326,fair,[形]公平な 
327,false,[形]偽りの、間違った 
328,familiar,[形]見慣れている、親しい 
329,fan,"[名]扇, 扇風機 "
330,fare,[名]運賃 
331,fashion,[名]服装の流行 
332,fault,[名]欠点、誤り 
333,favor,[名]好意、親切 
334,favorite,[形]お気に入りの 
335,fax,[名]ファックス 
336,fear,[名]恐怖 
337,feed,[動]食事を与える 
338,fellow,[名]男、やつ 
339,female,[名]女性、雌 
340,fence,[名]囲い、柵 
341,festival,[名]お祭り 
342,fifteenth,[名]第15番、１５日 
343,fifth,"[名]5番目, 5日 "
344,fiftieth,[名]50番目 
345,figure,[名]図、数字 
346,fill,[動]満たす 
347,final,[形]最終の、最後の 
348,finally,[副]ついに、最終的に 
349,firm,[形]硬い、堅固な 
350,fisherman,[名]漁師 
351,fishing,[名]釣り 
352,fit,[形]ふさわしい 
353,fix,[動]１．固定する　２．修理する 
354,flag,[名]旗 
355,flight,[名]フライト、便 
356,float,[動]浮く、浮かぶ 
